"geneNames.as.numeric.rownames.res_coef2..1.l2...","res_coef2.adj.P.Val.1.l2."
"CGA",1.49614102323612e-06
"IRAK3",1.49614102323612e-06
"ATP2A2",1.52405445820436e-06
"CEBPD",1.62191294844898e-06
"ITPR2",1.63497629039873e-06
"B3GNT5",1.72799535534523e-06
"PDIA4",1.73412585065325e-06
"SRPRB",1.78479746652459e-06
"MSN",1.84495244085305e-06
"LOC101060391",1.85539229734363e-06
"COL18A1",1.86375749406295e-06
"USP13",1.90723111851723e-06
"NDNF",1.92082115830488e-06
"SORBS2",1.96529362172842e-06
"FAM13B",1.97987265294267e-06
"240991_at",1.97987265294267e-06
"SEC22A",2.06374914295752e-06
"NR4A2",2.08054580047119e-06
"MCU",2.08054580047119e-06
"FKBP11",2.08054580047119e-06
"STK3",2.08054580047119e-06
"SSBP2",2.08054580047119e-06
"SULF2",2.12347200589689e-06
"THBD",2.15724609254236e-06
"KIAA1217",2.15724609254236e-06
"KIF5C",2.16457824528875e-06
"KLF6",2.16782768425212e-06
"NIF3L1",2.16782768425212e-06
"MIEF1",2.20996601170794e-06
"KLF6",2.20996601170794e-06
"ZNF804A",2.22574197959391e-06
"NCOA7",2.25484833700326e-06
"SOX6",2.35274237237692e-06
"COL4A4",2.36799622019754e-06
"PDIA4",2.39070043916255e-06
"IFITM1",2.52940289302738e-06
"ERCC4",2.52940289302738e-06
"LOC101928916",2.63645201157551e-06
"AI651786",2.66276650893777e-06
"GABRB3",2.68440735170236e-06
"RPS6KA2",2.76356214633775e-06
"FOXK1",2.81583705409205e-06
"GS1-259H13.2",2.89595253726884e-06
"PRELP",2.92008816793751e-06
"EFNA1",2.92008816793751e-06
"AW612461",2.92595544576989e-06
"OSMR",2.92755256078688e-06
"SRPRB",2.93392817626322e-06
"CAB39L",2.93392817626322e-06
"AFF2",2.97359914026021e-06
"SOX7",3.01646405131627e-06
"CXCR4",3.01646405131627e-06
"FGF12",3.13984203727496e-06
"LAMP5",3.16250215167811e-06
"SLC8A1",3.16250215167811e-06
"RXRA",3.16250215167811e-06
"PCSK6",3.17212220326242e-06
"NUPR1",3.17212220326242e-06
"HMGN2",3.2802342213115e-06
"SEZ6L",3.32002084653359e-06
"SRSF12",3.34950575439423e-06
"AF086027",3.36574115628095e-06
"ATP1B2",3.44794288420693e-06
"LOC100132167",3.50639911814081e-06
"RABL3",3.65416269128593e-06
"PEX19",3.66373670636666e-06
"ITPR2",3.67585364784582e-06
"EAPP",3.67585364784582e-06
"SLC33A1",3.690092462303e-06
"ERN1",3.75169876373968e-06
"AF086027",3.89670984122878e-06
"BF590850",3.95963292822456e-06
"NOVA1",3.95963292822456e-06
"AW384895",3.95963292822456e-06
"242449_at",3.97551967632802e-06
"TMSB10",3.99305595386725e-06
"PXDN",3.99305595386725e-06
"YAP1",3.99305595386725e-06
"C4B_2",3.99305595386725e-06
"JAKMIP2",4.05318539670085e-06
"ACSS3",4.19445431638705e-06
"CBS",4.43785426224352e-06
"CACNA2D4",4.45564095056719e-06
"FAM114A1",4.52716933381521e-06
"FAM84B",4.52716933381521e-06
"SEZ6L",4.61842236186088e-06
"DNAJC12",4.66539857929869e-06
"TMEM163",4.66539857929869e-06
"MAFF",4.8079114479887e-06
"PET117",4.8079114479887e-06
"JUNB",4.9176278374405e-06
"AU157675",4.98720476187007e-06
"GJA1",5.02397611906797e-06
"AA569225",5.11167487855787e-06
"GAS1",5.11772350588792e-06
"NOL12",5.31439062067152e-06
"ZCCHC24",5.32061975916276e-06
"TRMT5",5.32061975916276e-06
"CERS6",5.32061975916276e-06
"LOC101929280",5.32061975916276e-06
"ADH1B",5.36103386130392e-06
"MIS18A",5.3954062337871e-06
"SOX5",5.4482601001008e-06
"OR7A5",5.4482601001008e-06
"GABARAPL1",5.52935059123005e-06
"MIR612",5.52935059123005e-06
"PDE7B",5.53170973950905e-06
"ITPR2",5.53170973950905e-06
"IFITM2",5.61264033309993e-06
"KLF6",5.61264033309993e-06
"BEND4",5.61264033309993e-06
"HTATIP2",5.64204748090935e-06
"PIP5K1B",5.64770642874753e-06
"LDLRAD3",5.69921353814332e-06
"MAD2L1",5.69921353814332e-06
"SLC29A1",5.77118661729678e-06
"GLIS3",5.8766579422626e-06
"ETS2",5.90118602480008e-06
"MOCOS",5.94418561924509e-06
"GAMT",6.02400106176126e-06
"NARR",6.07375329851404e-06
"ITGA4",6.18374658858414e-06
"IFITM3",6.24420210055594e-06
"FAM98A",6.34872006273422e-06
"SMAD2",6.3616944662307e-06
"PRPF6",6.3616944662307e-06
"NANS",6.40308899150572e-06
"GH2",6.40308899150572e-06
"PIGS",6.42814788683595e-06
"RCAN2",6.42814788683595e-06
"TRIM29",6.42814788683595e-06
"SNX25",6.42814788683595e-06
"RAB31",6.42814788683595e-06
"MEG3",6.42814788683595e-06
"LOC100129550",6.42814788683595e-06
"AL832732",6.42814788683595e-06
"SORBS2",6.53994620734392e-06
"DOCK3",6.53994620734392e-06
"UBE2E3",6.53994620734392e-06
"FKBP11",6.54484672129144e-06
"TUBB6",6.55833322281271e-06
"CDH10",6.62337474281733e-06
"WDFY2",6.63168516084429e-06
"AI672553",6.71819710512926e-06
"COL4A3",6.85441989606959e-06
"RHOT1",6.86453836732308e-06
"SLC4A1AP",6.86469829814888e-06
"TCFL5",6.86469829814888e-06
"RGS16",6.86469829814888e-06
"ADCY5",6.86469829814888e-06
"242836_at",6.89311607426002e-06
"INPP5F",6.92953246836729e-06
"PEX19",6.96734053965486e-06
"BRMS1L",7.03028187105471e-06
"BF516038",7.06443911756209e-06
"FBXO31",7.22718090785515e-06
"MEG3",7.22718090785515e-06
"AW138143",7.24628284894966e-06
"TIGD5",7.28669391178428e-06
"HES1",7.29492509327298e-06
"ZFYVE28",7.29492509327298e-06
"SH3PXD2A",7.29492509327298e-06
"KIAA1661",7.3234850113626e-06
"SEC22C",7.35651873014345e-06
"LY96",7.48155261289217e-06
"SKAP2",7.54912796978451e-06
"OCRL",7.54912796978451e-06
"LOC101928916",7.54912796978451e-06
"RAB31",7.64835108890244e-06
"VDAC3",7.66882351639972e-06
"IFITM2",7.79042425036632e-06
"HPCAL1",7.79042425036632e-06
"PRKCH",7.79042425036632e-06
"AL359626",7.79042425036632e-06
"PRKAB2",7.9499534548214e-06
"PHYHIP",7.97606342792792e-06
"GAMT",8.06447438406599e-06
"EMP2",8.06447438406599e-06
"ALDH2",8.22347631226723e-06
"PMF1",8.22347631226723e-06
"MANF",8.61440252360406e-06
"BC012090",8.61440252360406e-06
"EFNB3",8.66668495502582e-06
"SLC8A1",8.8490846703707e-06
"STEAP4",8.8490846703707e-06
"KDELR2",8.92360995197017e-06
"LSM11",8.94135168436565e-06
"DDIT4L",8.94135168436565e-06
"NOTCH2",9.09468415785497e-06
"MAPRE2",9.13275749070861e-06
"WDR78",9.14016722988975e-06
"CDKN2B",9.14016722988975e-06
"DNAJC3",9.20161111149484e-06
"ATP8B1",9.21792597367743e-06
"GADD45G",9.38029487500111e-06
"PLCE1",9.38029487500111e-06
"CHSY1",9.38029487500111e-06
"NR4A2",9.38029487500111e-06
"FAM175A",9.38029487500111e-06
"SPAG7",9.39432998960459e-06
"MIR612",9.39432998960459e-06
"FXYD1",9.39432998960459e-06
"PELI1",9.54538667310673e-06
"LOC100130691",9.54538667310673e-06
"SYT7",9.77654145519583e-06
"LINC00963",9.84009293194919e-06
"C11orf96",9.93113114302478e-06
"RHOB",9.95223491094149e-06
"LTBP1",9.95223491094149e-06
"SOCS3",9.95383108618536e-06
"ENO2",9.95383108618536e-06
"CAB39L",9.95383108618536e-06
"FAM162B",9.95383108618536e-06
"KLHL29",9.95383108618536e-06
"DFNA5",1.01593552531001e-05
"OSBPL6",1.01870705058765e-05
"IGFBP5",1.01870705058765e-05
"LOC100653247",1.03096191795358e-05
"PDGFRL",1.03096191795358e-05
"GSTCD",1.05688999404836e-05
"TRIOBP",1.07314867190307e-05
"CYBRD1",1.07782936866884e-05
"FDFT1",1.07782936866884e-05
"DENND2D",1.09237213937586e-05
"RBPMS",1.1045380569292e-05
"FBN2",1.10477941298492e-05
"HPCAL1",1.10489962308722e-05
"PAMR1",1.10489962308722e-05
"ALDH1A1",1.10489962308722e-05
"IGFBP2",1.10489962308722e-05
"PELI1",1.11700498052984e-05
"CFHR1",1.12355082228959e-05
"ZNF697",1.16412111704678e-05
"SPRY4",1.1675071612779e-05
"HEPACAM2",1.17169711872544e-05
"PDS5B",1.17169711872544e-05
"AA523939",1.17169711872544e-05
"IL1R1",1.17169711872544e-05
"KIF5C",1.17446192015647e-05
"NREP",1.20886177300614e-05
"IPO9",1.21036684759537e-05
"GNB3",1.21588234977778e-05
"PHLPP1",1.23185891966014e-05
"KATNBL1",1.23214333223816e-05
"THBS1",1.23343120761005e-05
"RARRES1",1.24716710611617e-05
"ELAC1",1.24716710611617e-05
"PERP",1.25005114977237e-05
"PMP22",1.25083194087235e-05
"CNGA3",1.25083194087235e-05
"CA10",1.25173487082016e-05
"RBPMS",1.25967804244471e-05
"ERN1",1.26769205783409e-05
"ADAM28",1.26769205783409e-05
"TWIST1",1.26769205783409e-05
"LINC01315",1.28437177990564e-05
"SGMS2",1.28437177990564e-05
"POMGNT2",1.28514983468399e-05
"MAPK9",1.28514983468399e-05
"STAT3",1.28514983468399e-05
"DOCK11",1.29797605400282e-05
"SLC8B1",1.31894619097927e-05
"MIR7114",1.32738470861873e-05
"ACOT1",1.33061363592633e-05
"AK095621",1.33365589718908e-05
"RPRD2",1.33686779467945e-05
"SLC44A3",1.34508268098371e-05
"ARID1B",1.36411578728399e-05
"EPB41L5",1.39764238383953e-05
"ZFP36L1",1.4074905731762e-05
"PIAS1",1.4074905731762e-05
"GPSM2",1.44649418782339e-05
"LOC100129617",1.48006889616705e-05
"GSDMD",1.51595717386431e-05
"FMOD",1.56195257398161e-05
"AF147406",1.56993028007709e-05
"UTRN",1.57554431807716e-05
"LITAF",1.57554431807716e-05
"RCAN1",1.59320822614095e-05
"AI222435",1.59320822614095e-05
"ETV1",1.59839759629131e-05
"NOTCH2",1.62008596619764e-05
"RBBP7",1.6289319855757e-05
"RBSN",1.65259253442424e-05
"1561181_at",1.69874413812176e-05
"ARHGEF12",1.72287078737468e-05
"PAK5",1.74603561984522e-05
"COL6A6",1.74603561984522e-05
"MEG3",1.75842191411633e-05
"GEM",1.76491843838871e-05
"FOXL2",1.76491843838871e-05
"SLC6A15",1.77980015443945e-05
"TES",1.77980015443945e-05
"PTPN14",1.79598579588923e-05
"N66045",1.80311110356693e-05
"CAMK2N1",1.80311110356693e-05
"AL050168",1.81118816600274e-05
"RAB27A",1.81470837593979e-05
"SEZ6L",1.82183846693915e-05
"SOX6",1.82430483106228e-05
"SLC35F4",1.82430483106228e-05
"RARRES1",1.82430483106228e-05
"RDH10",1.82430483106228e-05
"SEPSECS-AS1",1.82430483106228e-05
"MYO10",1.83593718489605e-05
"LRFN5",1.83593718489605e-05
"NFATC3",1.84330980296661e-05
"BCLAF1",1.84657716643434e-05
"PUM2",1.84775659871943e-05
"AUH",1.85279773079595e-05
"ARMCX5-GPRASP2",1.85407769846526e-05
"INMT-FAM188B",1.85714765985519e-05
"PCYT1B",1.85885110049655e-05
"SEZ6L",1.85885110049655e-05
"CKAP5",1.85885110049655e-05
"DTWD1",1.85885110049655e-05
"MDFIC",1.8695997131499e-05
"PGM2",1.87347403459848e-05
"FLJ23867",1.89435845736433e-05
"AP1S2",1.91850405701283e-05
"STARD9",1.91850405701283e-05
"IDH3B",1.92140876516714e-05
"TPH2",1.97102013846358e-05
"NHSL1",1.97134860596094e-05
"MIEF1",1.97943393636572e-05
"ID1",1.98895274973393e-05
"IGFBP5",1.98940283444887e-05
"NECTIN3",1.99513733072082e-05
"TCEA2",1.99513733072082e-05
"CCDC115",2.00750000207887e-05
"EP400NL",2.01579302694857e-05
"CREM",2.01579302694857e-05
"PBX3",2.02316579822686e-05
"MERTK",2.04209797188705e-05
"SGCD",2.05034615430054e-05
"PRPF40A",2.09172360793158e-05
"CDH2",2.11738372671062e-05
"TFEB",2.1325846766866e-05
"SQSTM1",2.14376898288485e-05
