"geneNames.as.numeric.rownames.res_coef1..1.l1...","res_coef1.adj.P.Val.1.l1."
"STK26",1.01908974208996e-08
"EPS8",1.02232664833217e-08
"SSBP2",1.02679607108248e-08
"CGA",1.08108862474207e-08
"FGF12",1.09417470026579e-08
"KLHDC8B",1.1579971236796e-08
"PCSK6",1.23649364659365e-08
"PDLIM4",1.25357265353813e-08
"FBXO31",1.25357265353813e-08
"ADH1B",1.29341202688025e-08
"FAM181B",1.33900934677832e-08
"BCL2",1.37313884446836e-08
"ENO2",1.39891758560254e-08
"GSTCD",1.42307574649094e-08
"ZNF804A",1.47605164791984e-08
"EPB41L5",1.48697190851273e-08
"RCAN1",1.48697190851273e-08
"SRPRB",1.4895793215565e-08
"NLGN1",1.4895793215565e-08
"CFI",1.49322257818122e-08
"ATP2A2",1.49322257818122e-08
"MCU",1.52792747787296e-08
"SEZ6L",1.53947579224212e-08
"COL4A4",1.54633619820052e-08
"KATNBL1",1.54633619820052e-08
"AU147903",1.57763431397729e-08
"MANF",1.57862313862792e-08
"DHRS3",1.65932181315925e-08
"CFB",1.7183466572432e-08
"PEX19",1.7183466572432e-08
"COL4A4",1.73786645299546e-08
"PRCD",1.75171941866144e-08
"ARHGAP36",1.75618223855719e-08
"CA10",1.76820013013324e-08
"ACSS3",1.76820013013324e-08
"WDR78",1.76820013013324e-08
"GPRIN3",1.76820013013324e-08
"CNGA3",1.77216811004755e-08
"GS1-259H13.2",1.78575759708489e-08
"UBE2E3",1.78575759708489e-08
"USP13",1.79593637384659e-08
"CDKN2B",1.80120850926614e-08
"IGFBP6",1.80120850926614e-08
"COL18A1",1.81623974002575e-08
"ARHGAP24",1.81623974002575e-08
"SFRP2",1.84864045509735e-08
"AKT3",1.946117737795e-08
"UBE2N",2.03442732842473e-08
"GADD45G",2.04841386571833e-08
"CXCR4",2.10109760636581e-08
"AFF2",2.19006957866783e-08
"ATP1B2",2.25882107119236e-08
"ITPR2",2.26799248254122e-08
"SAAL1",2.26799248254122e-08
"ZCCHC24",2.35480781800203e-08
"SRSF12",2.46683894068429e-08
"MIEF1",2.5278760201567e-08
"HACD4",2.55831640795981e-08
"NIF3L1",2.6518041705423e-08
"NOL12",2.67755679606138e-08
"INHA",2.71407352315189e-08
"LOC100132167",2.71407352315189e-08
"SKAP2",2.76705110876828e-08
"BC012090",2.78643851927062e-08
"AL050168",3.0674791859846e-08
"MEG3",3.26424265840175e-08
"KLF6",3.28476550842643e-08
"APH1B",3.30626457684892e-08
"RGS16",3.36075090742278e-08
"B3GNT5",3.36075090742278e-08
"TRIM29",3.36075090742278e-08
"BAZ1A",3.5082180816173e-08
"NCAPG2",3.5082180816173e-08
"DDIT4L",3.53219599935364e-08
"SULF2",3.67105024130016e-08
"BM985423",3.84895966419611e-08
"BF590850",3.93483331447311e-08
"JAKMIP2",3.96399037589003e-08
"SLC8A1",4.17709767009454e-08
"FNDC5",4.26821623434294e-08
"TRIOBP",4.33244829086926e-08
"GSDMD",4.3349572238654e-08
"NR4A2",4.33857926368599e-08
"GOLGA2",4.37401679301118e-08
"ARHGEF12",4.39806958395248e-08
"ERN1",4.45043557960537e-08
"LAMP5",4.4742898608128e-08
"IGSF5",4.4742898608128e-08
"ARHGEF28",4.55119321088891e-08
"PET117",4.58173827508024e-08
"VAV2",4.65304985499504e-08
"APBA1",4.72703177361404e-08
"OCRL",4.72914706242023e-08
"RTN4",4.75991723624481e-08
"DPY19L4",4.89300158031557e-08
"LTBP1",5.04950074771528e-08
"KLF6",5.07613329226839e-08
"HMGN2",5.20209604303052e-08
"LOC100129617",5.21755148467748e-08
"SH3PXD2A",5.33658487957946e-08
"NUPR1",5.35746063485464e-08
"FAM13B",5.39051560748122e-08
"JUP",5.3922390768735e-08
"LOC101928916",5.46405404051073e-08
"TRMT5",5.54540599545649e-08
"TMEM100",5.57678801729814e-08
"SOCS3",5.58114096516112e-08
"LOC101928916",5.62299126360348e-08
"COL4A3",5.76522187146571e-08
"TGOLN2",5.79302543879913e-08
"TMED5",6.02963379509792e-08
"SEC22C",6.12525079172999e-08
"AUH",6.24194437940651e-08
"DOCK11",6.31137233274761e-08
"MEG3",6.35342832430967e-08
"CYP26B1",6.35342832430967e-08
"CBS",6.37655877275447e-08
"CA10",6.4686943434337e-08
"CDH10",6.58339198238754e-08
"GABRB3",6.62502392606002e-08
"KDELR3",6.78105809668004e-08
"PHACTR2",6.91383622791858e-08
"BNIP2",6.91383622791858e-08
"SLC33A1",6.96971641291014e-08
"TDRD9",6.96971641291014e-08
"ETV1",6.97197168551336e-08
