"geneNames.as.numeric.rownames.res_coef4..1.l4...","res_coef4.adj.P.Val.1.l4."
"AVL9",1.96825724547266e-06
"DIDO1",4.48684644534047e-05
"CIAPIN1",4.48684644534047e-05
"AA772075",4.48684644534047e-05
"HMGA2",5.59935424157943e-05
"TRMT10C",9.84955728453754e-05
"HS6ST3",0.000125654143047576
"PSMG4",0.0001282306474642
"TIMM22",0.000188315893195296
"AL117601",0.000188315893195296
"RIOK2",0.000188315893195296
"HNRNPUL2-BSCL2",0.000188315893195296
"SLC45A4",0.000314385998175685
"C5orf34",0.000318996755397465
"EARS2",0.000516840876032756
"UBAC2",0.000693512608760087
"MBOAT1",0.000810741889625405
"ANKHD1-EIF4EBP3",0.00098156718607965
"MGAT4D",0.00106768746726587
"TTC3P1",0.00156479215611573
"PRELID1",0.00171424363718163
"CNOT7",0.00184291241487567
"RNF141",0.00184291241487567
"PRPF31",0.00184291241487567
"LMBR1",0.00185520633748561
"PRR14L",0.00195620505144193
"ACTR3",0.00197502918647512
"EFNA3",0.00213703584960367
"AF070618",0.00214992235141443
"HECTD4",0.00213703584960367
"UQCC1",0.00213703584960367
"AW969652",0.00247753220228408
"LOC102723845",0.00247753220228408
"N4BP2",0.00266322155534165
"PCBP2",0.00289882863331349
"EPN1",0.00309216775863463
"KDM5B",0.00309216775863463
"CDK7",0.00309216775863463
"LYNX1",0.00321949567376077
"ERICH1",0.00341830297165575
"CHMP2B",0.00341830297165575
"ARAF",0.00364388576856111
"ZNF747",0.00402983778599597
"FBXW5",0.00531861934203039
"WDFY3",0.00592177718935606
"216475_at",0.00623375238747393
"GMPS",0.00623375238747393
"CCDC7",0.00623375238747393
"217524_x_at",0.00536254327460286
"MRPS18A",0.00675295658969432
"OFCC1",0.00677340821079539
"RBFOX2",0.00708302828472653
"CCDC158",0.00675295658969432
"CDKAL1",0.00708302828472653
"BE672541",0.00756564474086323
"ITPRIPL1",0.00759508528042087
"ASMTL",0.00779644591100203
"BC041910",0.00708302828472653
"LOC101927411",0.0086726563340272
"RAP2A",0.0086726563340272
"LRRFIP2",0.0086726563340272
"N34548",0.0086726563340272
"FCRLB",0.00906546035103523
"MIR6878",0.00930800529123626
"XRN1",0.00945093014709497
"AIFM1",0.00954101642388115
"AI401105",0.0107686765602217
"GPN1",0.0112379946802363
"TRMT10A",0.0112379946802363
"ACTL6B",0.0107686765602217
"ZNF664-FAM101A",0.0112379946802363
"TMEM186",0.0126032628357452
"GABRD",0.0141384160702537
"AK022266",0.0151633028493338
"AU151944",0.0153185596614608
"LRRC39",0.0157886458950932
"SCYL3",0.0166092042812854
"LRFN3",0.0171705885425131
"SLC24A1",0.0175416275808311
"MDM4",0.0175416275808311
"PPP1R32",0.0180204454463352
"RUBCN",0.0175416275808311
"HELB",0.0175416275808311
"SLC22A7",0.0180233187865857
"SENP1",0.0190269408022274
"HCG4B",0.0191333315583222
"FAM175A",0.0192674708033029
"C17orf89",0.0220215670248234
"TLX3",0.0210210262473258
"FLJ31713",0.0220735214378399
"SNX21",0.0221504266846606
"AI914418",0.0223895383414671
"ING1",0.0227498175495568
"DDAH1",0.0229684597466328
"RUFY2",0.0237765587334668
"EBPL",0.0235870631557078
"LINC00892",0.0237765587334668
"LOC729887",0.0237765587334668
"BC043167",0.0221504266846606
"C8orf58",0.026048358307433
"NCK1",0.026048358307433
"1556962_at",0.0280430666997944
"COMMD5",0.0284990177702576
"GPR89A",0.0284990177702576
"COPE",0.0289700805519644
"ALOX5",0.0297811654870341
"BE646451",0.029300090881285
"AI829674",0.0324241111581822
"AFMID",0.0357091827320643
"CTDSPL2",0.0344703549234398
"GREM2",0.0344886140095461
"AI174988",0.0357091827320643
"ARHGEF12",0.0357091827320643
"PDPR",0.0401204725082692
"AL833248",0.0401204725082692
"DNAJC11",0.0401204725082692
"KCNC3",0.0401204725082692
"ADAMTSL1",0.0411902951981976
"FGF18",0.0401204725082692
"USP28",0.0403119119971888
"HNRNPU",0.0430004601347148
"PEX13",0.0431748235272355
"CEP57",0.0431748235272355
"231882_at",0.0431748235272355
"RAB11A",0.0431748235272355
"KLF3",0.0431748235272355
"MAF",0.0431748235272355
"ST3GAL2",0.0435515168605621
"RAB28",0.0435515168605621
"BCDIN3D-AS1",0.0443713529532916
"RBM8A",0.0435515168605621
"GTSE1-AS1",0.0435515168605621
"TMEM50A",0.0479295719247218
"AL832537",0.0479295719247218
"GCSAM",0.0479295719247218
"DAW1",0.0479295719247218
"HSF1",0.0479295719247218
"EML5",0.0481942764997025
"DSG2-AS1",0.0512250529563884
"LOC100507494",0.0481942764997025
"PSMD5-AS1",0.0490872487707249
