"geneNames.as.numeric.rownames.res_coef1..1.l1...","res_coef1.adj.P.Val.1.l1."
"MED1",2.14412223595343e-07
"ZNF276",2.03192782352653e-06
"BTD",2.03192782352653e-06
"AW675572",2.24329103474754e-06
"AL833645",8.23015438768168e-06
"AV703843",1.0572093523584e-05
"208045_at",7.3014024363557e-05
"LINC01197",0.000119243826555597
"ZNF77",0.000119243826555597
"SFTPC",0.000175888989973141
"CHRNB3",0.000346382646663959
"EDNRA",0.000456528659982473
"221929_at",0.000552909591284418
"UBR5-AS1",0.000552909591284418
"FAM208B",0.000561620485962953
"LOC101928818",0.000561620485962953
"DNAH1",0.000561620485962953
"R59869",0.00111087536320575
"KIR2DS1",0.00111087536320575
"EXOC3",0.00121236468732537
"BE676171",0.00124285724924271
"C4orf32",0.00137248142907822
"BG745857",0.00139725247280468
"CNTNAP2",0.00147762535444773
"SFI1",0.00148405454208066
"LOC100505622",0.00210721784396694
"SLC39A8",0.00217368888482349
"DIDO1",0.00218825392164282
"BE549690",0.00238748183578037
"GIGYF2",0.00238748183578037
"FBXO42",0.00280615124567578
"PDE5A",0.00303566811350843
"GRIA2",0.00317455039035284
"AK027178",0.00318916788679732
"RANBP9",0.00318916788679732
"AW445213",0.00355332196165174
"TTLL9",0.0038827542392326
"AF143878",0.00400290112501947
"BC039685",0.00431155387065146
"ABCC4",0.00431155387065146
"GOLGA6D",0.00431155387065146
"ZNF678",0.00317455039035284
"SRRM3",0.00477397372091485
"OFCC1",0.00485562609600183
"TTC17",0.00488530626755386
"EPRS",0.00488765502256043
"LGI3",0.00488765502256043
"BE465396",0.00488765502256043
"BC038780",0.00492861862512912
"HAS1",0.00643845794758182
"RMND5A",0.00674836354311499
"217038_at",0.00626572360469995
"USP29",0.0093464771375132
"DCAF7",0.00924518959222312
"RTKN",0.00924518959222312
"GOPC",0.00941158488985181
"TMEM232",0.00977096858817113
"SEPSECS-AS1",0.00985849805668985
"TSEN54",0.0102719934245907
"TMPPE",0.0112375754082175
"C19orf44",0.011345180788201
"ART3",0.011751979178997
"HP1BP3",0.012931487765048
"OGT",0.0137543792951661
"MON2",0.0143932641939255
"CCDC82",0.0148849728037058
"AA001543",0.0149633196649853
"MIR675",0.0154618215071242
"BC028913",0.0154618215071242
"ACD",0.0160933244622015
"LINC01527",0.016609381153428
"C10orf76",0.0171027236819094
"IFNGR1",0.0171623892649304
"URGCP",0.0174391342146108
"AI669495",0.019693138492542
"CD46",0.022149685087775
"TNFAIP6",0.022149685087775
"CAT",0.022149685087775
"PYGO2",0.022149685087775
"ANKRD20A5P",0.022149685087775
"ACE2",0.022149685087775
"PCMTD2",0.022149685087775
"244312_at",0.0234557603416302
"AW291120",0.0235368204245501
"RGR",0.0265502206503047
"SLC9A7",0.0265502206503047
"STC1",0.0265502206503047
"SLC19A3",0.0265502206503047
"LOC339988",0.0275656329329545
"PRKAB2",0.0275656329329545
"234381_at",0.0283190223455858
"SF3B3",0.0283190223455858
"PECAM1",0.0283190223455858
"SZT2",0.0283190223455858
"AK025716",0.0286312141386314
"CCT4",0.0289355510206649
"ABCF3",0.0292790746866091
"PPP2R3B",0.0292790746866091
"C20606",0.0302406304829942
"CCDC144CP",0.0309774718635704
"LOC101928954",0.0319191251380598
"GPR89A",0.0319191251380598
"244637_at",0.0322074425512552
"FGF7",0.0322766575028352
"SKIV2L2",0.0322766575028352
"ACKR4",0.0347376495801973
"CBLN1",0.0374063805373183
"FBXL13",0.0375223019509663
"ABCC6P1",0.0378287724660308
"F13B",0.0384860103214677
"ZDHHC3",0.0384860103214677
"SPAG5",0.0384860103214677
"SLC25A27",0.0384860103214677
"DAGLB",0.0384860103214677
"AU144382",0.0384860103214677
"B3GALT5",0.0385489180784306
"BC006262",0.0385489180784306
"LOC729887",0.0385489180784306
"TJAP1",0.0385489180784306
"SPRTN",0.0396124945850861
"AL137307",0.0420642102805567
"ORC3",0.0434169998754053
"GLS2",0.0434169998754053
"RBM33",0.0434169998754053
"RSPO3",0.0434169998754053
"NCAPH2",0.0434169998754053
"FOXP2",0.0434169998754053
"CASC4",0.0438189733372793
"SYNPO2",0.0438901632521855
"ANKFN1",0.0448966931641761
"FGGY",0.0461747582897297
"RICTOR",0.0448966931641761
"CREB1",0.0448966931641761
"SACS-AS1",0.0448966931641761
"ELP3",0.0448966931641761
"ABCB7",0.0449965720143995
"ZMYM6",0.0480635701715671
"P2RX2",0.0480635701715671
