"geneNames.as.numeric.rownames.res_coef4..1.l4...","res_coef4.adj.P.Val.1.l4."
"RPS4Y1",6.01223647622097e-20
"EIF1AY",3.76442807885821e-17
"DDX3Y",1.19310343344368e-15
"UTY",1.11297152594727e-10
"KDM5D",1.14418408310141e-10
"USP9Y",3.81456246509381e-10
"ZFY",4.77668045984449e-10
"chrY:21034391-21040114",3.31515270730197e-06
"TXLNGY",2.25643129497307e-05
"PRKY",2.25643129497307e-05
"NLGN4Y",0.000168978781111535
"NRK",0.00084398859560027
"RPS4Y2",0.0014720503349836
"MBTPS2",0.00158939918641394
"TMEM163",0.0030433097561862
"S100Z",0.0041699517400532
"ZFX",0.00634376319472292
"GFRA1",0.00907065554007546
"SLX1B-SULT1A4",0.0103029239683497
"JMY",0.0263068675349954
"MPZL2",0.0361103458287003
"ESM1",0.0361103458287003
"HSD17B10",0.0400292275799727
"EIF1AX",0.0499038047602607
