"geneNames.as.numeric.rownames.res_coef2..1.l2...","res_coef2.adj.P.Val.1.l2."
"XIST",3.19687878574199e-17
"KDM5D",1.15646963103807e-12
"RPS4Y1",2.16467961841622e-10
"DDX3Y",2.16467961841622e-10
"USP9Y",3.56299837691927e-10
"EIF1AY",1.74182724088142e-09
"AL713714",1.35129119081667e-08
"AI753104",1.06598997929593e-07
"TXLNGY",2.34810682243946e-07
"ZFY",1.03867767264558e-05
"AI973051",1.10860763635518e-05
"TTTY14",0.000260224544158279
"237225_at",0.000921415841123415
"UTY",0.00479353004114032
"BC022384",0.00881017848035354
"TTTY10",0.0292606951054373
"TBL1Y",0.0433999724896325
"HSPA6",0.0475623303974761
