"geneNames.as.numeric.rownames.res_coef2..1.l2...","res_coef2.adj.P.Val.1.l2."
"FAM207A",0.000256404508524084
"ZNF19",0.000256404508524084
"ELMO2",0.000511852195965503
"ZBTB44",0.000511852195965503
"1565978_a_at",0.000511852195965503
"TOR1AIP2",0.000511852195965503
"PLAC8L1",0.000511852195965503
"AI743120",0.000646931199906159
"HOXA11-AS",0.000814322109247453
"IRGQ",0.00096453690675291
"AF003737",0.00123112830911005
"TOP3A",0.00123112830911005
"ABCB9",0.00276371741232899
"BACH1",0.00453724871309462
"LOC375196",0.00498702811560259
"DAPP1",0.00692470106815087
"PVRIG",0.00692470106815087
"SIGLEC15",0.00712175251558814
"C1orf167",0.00722014985013705
"AOX1",0.00722014985013705
"ABT1",0.00757972277416008
"SOCS3",0.00949779281500962
"FAN1",0.00949779281500962
"SMPD1",0.0101380452299905
"AL713719",0.0102011785704818
"NRIP3",0.0102011785704818
"MREG",0.0102011785704818
"ARIH2",0.0102011785704818
"SNX19",0.0102011785704818
"H18856",0.0102011785704818
"C1QTNF5",0.0102011785704818
"LOC105377832",0.0136402346596508
"APOL6",0.0136402346596508
"NPM3",0.0148314174138713
"LOC101930303",0.0148377750992464
"LAMA4",0.0148377750992464
"NOC2L",0.0159047051284508
"FRYL",0.0164209367224805
"AF458587",0.0164209367224805
"AI198212",0.0164209367224805
"CPS1",0.0165074838554494
"TCOF1",0.0165074838554494
"LOC100420758",0.0165074838554494
"EREG",0.0165074838554494
"PDE5A",0.0165074838554494
"TMEM185B",0.0165074838554494
"221120_at",0.0173291320816162
"NMNAT1",0.0180225239944588
"HS6ST2",0.0182439525374832
"DKK1",0.0182439525374832
"TRAC",0.0182439525374832
"TAPT1",0.0182439525374832
"UBA1",0.0206431604051943
"AW274946",0.0207908561930789
"PBXIP1",0.0207908561930789
"PPP2R5B",0.0212348765587602
"ASRGL1",0.0212348765587602
"BC034707",0.0212348765587602
"N71463",0.0213975416824617
"SRSF3",0.0213975416824617
"PGGT1B",0.0249124890656635
"C16orf52",0.026001614388453
"ZMYM3",0.0284015627428756
"ATP6V0A2",0.0284015627428756
"FXN",0.0324207314115593
"AW051712",0.0328769638171199
"NAALADL1",0.0331610635608778
"MRO",0.0331610635608778
"AI040743",0.0334142449672185
"KLF13",0.0346300641626674
"SUB1",0.0346300641626674
"AB051444",0.0365182386018924
"PDE6B",0.0368847500396387
"TMC8",0.0379099075156118
"BDH1",0.0379099075156118
"AI092013",0.0379175361306187
"ASXL2",0.0379175361306187
"RRAGB",0.0379175361306187
"FAM205BP",0.0379175361306187
"207470_at",0.0379175361306187
"BCKDHB",0.0387141079353843
"SMURF1",0.0412132308313427
"C12orf66",0.0412132308313427
"TRRAP",0.0412132308313427
"F7",0.0419738113402204
"NFATC1",0.0433762321091761
"CDK12",0.0440715843951879
"ADK",0.0440715843951879
"TRAK1",0.0440715843951879
"TWF1",0.0440715843951879
"METTL7A",0.0440715843951879
"TMPRSS15",0.0447501101711386
"IFRD1",0.0454456881853784
"PPIF",0.0461348913275939
"MTSS1",0.0465790345988114
"TPD52",0.0472429038677098
"LOC101927839",0.0472429038677098
"ZNF611",0.0472429038677098
"AI871356",0.0472429038677098
"PITPNC1",0.0472429038677098
"BE465103",0.0472429038677098
"SLC9B2",0.048367148860116
