"geneNames.as.numeric.rownames.res_coef2..1.l2...","res_coef2.adj.P.Val.1.l2."
"RPS4Y1",2.15877769653902e-23
"EIF1AY",1.24996960142196e-16
"KDM5D",2.39609099873091e-14
"CYORF15A",7.44443188402155e-11
"PRKY",1.40190638297439e-05
"UTY",4.81574292984206e-05
"U2AF1L4",0.0028190641194471
"KCNJ2",0.00723740162516734
"IQSEC1",0.00744670776625981
"NOTCH1",0.00995966511013145
"PDE4A",0.0104989842362558
"RGS18",0.0143042345845095
"CYORF15B",0.0174856081436351
"CCNY",0.0174856081436351
"MRFAP1L1",0.0174856081436351
"ZBED1",0.0174856081436351
"SH2D3C",0.0174856081436351
"IL4R",0.0174856081436351
"CNOT4",0.0174856081436351
"RAB11A",0.0174856081436351
"TMPO",0.0174856081436351
"TNRC6B",0.0174856081436351
"SPON2",0.0174856081436351
"DOCK2",0.0176801490068146
"SH3KBP1",0.0176801490068146
"SSH2",0.0177550916468311
"ISOC2",0.0178163081670849
"TBC1D7",0.0182631321211108
"CAMK2G",0.0182701652706479
"P2RY13",0.019477409467604
"PNO1",0.0196707819688163
"SLX4IP",0.0201011142888041
"TIMM8A",0.0201011142888041
"ZNF281",0.0201011142888041
"LIPA",0.0201011142888041
"ZNF746",0.0201011142888041
"HMGN5",0.0205971449181801
"P3H4",0.0210815626592863
"KCTD5",0.0210815626592863
"TMSB4Y",0.0210815626592863
"FBXO38",0.0219004397169982
"MMP23A",0.0219004397169982
"ATP2B4",0.0222383230842985
"GATAD2A",0.0227248510152044
"LYST",0.0229451351199261
"COLQ",0.0229451351199261
"NCOA1",0.0230826376154793
"PRUNE1",0.0230826376154793
"WTAP",0.0230826376154793
"YPEL2",0.0254824989851559
"H2AFZ",0.0254824989851559
"C1RL",0.0254824989851559
"ZNF106",0.0254824989851559
"NLRP3",0.0254824989851559
"CTDSP2",0.0254824989851559
"SLC44A1",0.0259013489815442
"GOLM1",0.0259013489815442
"IFNGR1",0.0259013489815442
"SIRPA",0.0259013489815442
"CHMP2A",0.0259013489815442
"TPPP3",0.026850693313036
"EEF1A1",0.026850693313036
"EHMT2",0.0275942633945481
"NLRP2",0.0275942633945481
"FAM210A",0.0275942633945481
"DNAJB6",0.0279382971531238
"RPP25",0.0282994382839159
"LPP",0.0300114779737767
"DAZAP2",0.0302543779789425
"ZNHIT3",0.0303829701488321
"EPC1",0.0303829701488321
"CEP350",0.0303829701488321
"ZRSR2",0.0303829701488321
"CAB39",0.0303829701488321
"ARCN1",0.0303829701488321
"CD200R1",0.0303829701488321
"KDM3B",0.030623737787407
"WNT10B",0.030623737787407
"RNF44",0.030623737787407
"CHUK",0.0312067120362587
"KLHL28",0.0327737735289053
"CRLS1",0.0327737735289053
"FBXW7",0.0327737735289053
"SLC7A6OS",0.0327737735289053
"GUF1",0.0327737735289053
"HMP19",0.0327737735289053
"FAM129B",0.0354930910223096
"MYH9",0.0354930910223096
"GPR180",0.0367540527556748
"RAB22A",0.0370177160447509
"SOCS4",0.0374442561958504
"SVIL",0.0374442561958504
"OXSR1",0.0374442561958504
"TUFT1",0.0374442561958504
"CPED1",0.0374442561958504
"CFAP126",0.0374442561958504
"BCR",0.0374442561958504
"BOK",0.0374442561958504
"TAF13",0.0374442561958504
"MTF1",0.0374442561958504
"AVEN",0.0374442561958504
"TBC1D14",0.0374442561958504
"LPCAT4",0.0376329604476302
"KANSL1",0.0376329604476302
"RNF145",0.0378303475080769
"TPT1",0.038643447041268
"TMIGD2",0.038816546665577
"PRDM1",0.0393725552944393
"TRPM4",0.0395807000989517
"PTPRA",0.0398571078866878
"NUDT14",0.0398571078866878
"ARMC5",0.0398571078866878
"ARHGEF7",0.0399324706532631
"MBP",0.040408271928771
"LARP4B",0.040408271928771
"STOML1",0.0406118560772733
"ZNF217",0.041414544903809
"SLC38A5",0.0414309389413868
"KIAA0232",0.041968226952807
"DDX6",0.0421591164633687
"HAGH",0.0421591164633687
"CDKN2AIP",0.0421595231486996
"GUCD1",0.0421595231486996
"ABR",0.0421595231486996
"ZNF467",0.0424589855186378
"ZNF319",0.0424589855186378
"CLN6",0.0430070422683733
"SERPINE2",0.0430070422683733
"DDX3Y",0.0439355657898584
"SLCO1A2",0.0439355657898584
"GRAMD1A",0.0439868453599752
"PELO",0.0443041787621895
"NCOA6",0.0443041787621895
"CCDC28A",0.0443041787621895
"TES",0.0443041787621895
"CLNS1A",0.0443041787621895
"COPA",0.0443041787621895
"SNX27",0.0443041787621895
"PRKCB",0.0443041787621895
"CLEC5A",0.0443041787621895
"WDR25",0.0443041787621895
"PQBP1",0.0443041787621895
"PDHB",0.0443041787621895
"CEP41",0.0443041787621895
"NFX1",0.0444263407393295
"CHST15",0.0448006038576677
"ENPP5",0.0448006038576677
"BCL6",0.0448006038576677
"ARFGEF1",0.0448006038576677
"STXBP5",0.0448006038576677
"LRRFIP2",0.0448006038576677
"MAN2A1",0.0448006038576677
"STX16",0.0448006038576677
"PUM2",0.0462257122737345
"PCBP2",0.047067751470081
"TCFL5",0.047067751470081
"TAF6",0.047067751470081
"PPP3R1",0.0479234745693409
"HDHD3",0.0480715144661101
"MPV17L2",0.0480715144661101
"RNF8",0.0483576141769523
"VPS4B",0.0485801687004866
"TAF15",0.0485801687004866
"DBNDD2",0.0492943435972238
"NOP56",0.0493913653213898
"AEBP1",0.0495431303512684
"SPAG16",0.0495431303512684
"PAN3",0.0495431303512684
"MAP2K6",0.0495431303512684
"TUBB4Q",0.0495431303512684
"FUOM",0.0495431303512684
"CEACAM21",0.0497173008069999
"WLS",0.0497624521740094
"OSBPL5",0.0498323823963745
