"geneNames.as.numeric.rownames.res2_coef1...","res2_coef1.logFC","res2_coef1.adj.P.Val"
"XIST",-8.41619,8.56277799411339e-34
"XIST",-6.55505416666667,6.43415250175638e-28
"DDX3Y",6.15938166666667,1.61580133050636e-23
"RPS4Y1",6.38627666666667,1.77679444580053e-23
"USP9Y",3.8146975,1.41701486990293e-22
"XIST",-6.50383166666667,8.42543135421183e-22
"EIF1AY",4.98938166666667,6.33370315691463e-20
"USP9Y",3.33581083333333,6.23078143569348e-18
"KDM5D",4.33910333333334,1.32260105180568e-15
"XIST",-6.70970333333334,1.3876490909458e-14
"EIF1AY",3.49858666666667,1.44965394887806e-14
"XIST",-5.93728,1.89918222935026e-14
"TTTY14",2.0726,1.65995226430502e-10
"TXLNGY",2.29166916666667,2.12357829556627e-10
"TXLNGY",2.80438,6.8889399587175e-10
"DDX3Y",2.544355,1.58890742240641e-08
"XIST",-4.69032416666667,2.10685492923717e-08
"TXLNGY",2.39352083333334,4.9242837428203e-08
"AL713714",2.58240166666667,1.61773320840799e-06
"237225_at",1.36826166666667,1.64615705835942e-06
"AI753104",1.69934333333333,4.53058439457784e-06
"TXLNGY",2.80955916666667,4.53058439457784e-06
"AI973051",2.2364075,5.6704214241971e-06
"BC022384",1.66851,7.01215369006418e-06
"TTTY15",1.17535583333333,1.08125982937476e-05
"DDX3Y",1.42925833333333,1.25026391256636e-05
"ZFY",1.028135,0.000257361005633288
"TXLNGY",1.66645833333333,0.000317158171120514
"TTTY10",1.29302666666667,0.000317158171120514
"UTY",1.3936625,0.000751435887269845
"AW052159",1.069455,0.00326280948116267
"NLGN4Y",0.560083333333334,0.00545184890628781
"ZFX",-0.705383333333334,0.00587699175676602
"SEPT6",-0.794233333333334,0.00877362123302017
"TBL1Y",0.610185833333334,0.0168366740922877
"ZRSR2",-0.476126666666667,0.0439719638825809
"RPARP-AS1",-0.632831666666666,0.0451558025610214
"244375_at",-0.8554725,0.0622080554385508
"R07848",-1.03792,0.0693673543673195
"AW974910",0.690929166666667,0.0948085869054551
"AL833255",-1.27269416666667,0.114405414737017
"ZFY",1.69584666666667,0.140758259028824
"JPX",-1.01263916666667,0.143928606455749
"C7",-1.394575,0.165242099619805
"NR4A1",1.49729916666667,0.166789683876519
"PPP2R2D",-0.55365,0.166789683876519
"DAZ4",1.46675,0.171532897306174
"ZRSR2",-0.469115833333333,0.190375851765025
"AU146197",-0.535008333333333,0.200279269615718
"ZNF317",-0.590011666666666,0.201637180549556
"AK000203",1.08524833333333,0.201637180549556
"AL566906",0.292135,0.206734287556475
"AV761453",-0.638503333333334,0.221660808201995
"LOC388692",-0.822143333333333,0.236250317575033
"SULT1C2",1.53385166666667,0.243706516434369
"UTY",0.72061,0.243706516434369
"ITGA9",-0.867460833333334,0.243706516434369
"PUDP",-0.636360833333333,0.243706516434369
"DAZ4",1.32435833333333,0.248817336263347
"AHDC1",-0.739426666666667,0.253010168725163
"AK022474",1.61939833333333,0.262506076434375
"SEPT6",-0.6875125,0.262761866834231
"ATF3",2.6614775,0.264793364341957
"LOC100507547",-0.649665833333333,0.277399100561329
"UBA1",-0.489074166666666,0.297764244377721
"NFIL3",1.35385166666667,0.301070190506941
"AL157462",0.52951,0.307467445396758
"DCAF7",-0.585166666666666,0.307667030032107
"TPCN2",-0.804439166666667,0.307667030032107
"FPR1",0.734075833333333,0.307667030032107
"CYB5RL",-0.7583275,0.307667030032107
"SEPT6",-0.653191666666667,0.307667030032107
"AU146285",-1.09911666666667,0.307667030032107
"DCLK2",-0.443671666666666,0.308749298809008
"DAZ4",1.40561916666667,0.319756247643889
"DCN",-0.963642500000001,0.319756247643889
"ZNF212",-0.458899166666667,0.319756247643889
"BICDL2",0.492136666666667,0.320815794467849
"PTPRCAP",-0.734785833333333,0.322123896337277
"ZNF862",-0.891204166666666,0.322123896337277
"SLC2A3",1.8649425,0.331231289962615
"ZNF75D",-0.623465,0.35095315300023
"ABHD5",1.02642833333333,0.352641575449171
"TSSK2",-0.448314166666667,0.352641575449171
"SUSD3",-0.797149166666667,0.352641575449171
"KDM6A",-0.677479166666667,0.352641575449171
"SPOCK2",-1.00097333333333,0.353713099337624
"CSK",-0.600583333333333,0.354152953321291
"SERPINC1",0.404911666666667,0.354152953321291
"PTGS2",1.50278666666667,0.36454005073305
"FLT3LG",-0.5469375,0.366135523255746
"PCNX2",-0.569870833333333,0.37190792407861
"CD24",0.883839166666667,0.379760894756864
"SELE",3.19183166666667,0.379760894756864
"ZNF671",-0.5519225,0.380440103552926
"PRKY",0.674650000000001,0.382308120826527
"MFNG",-0.467785833333333,0.388615538633152
"AU148256",-1.11357666666667,0.391710040594944
"NEURL1B",-0.940789166666667,0.398629985028465
"EGR2",1.84645666666667,0.398629985028465
"RUNX3",-0.8451325,0.398629985028465
"FMNL3",-0.633594166666667,0.398629985028465
"TNFRSF19",-0.635695833333334,0.398629985028465
"C11orf80",-0.723004166666667,0.398629985028465
"ATP13A2",-0.55992,0.398629985028465
"CDKL3",-0.5649025,0.398629985028465
"PPP1R35",-0.573165,0.398629985028465
"MIB2",-0.459060833333333,0.398629985028465
"AW974077",-0.619925,0.39872084974962
"ARPC4-TTLL3",-0.658270833333333,0.403849729137946
"ZFP36",1.80642,0.405533065011208
"240315_at",-0.761690833333334,0.409431307819577
"LOC100507073",-1.45171166666667,0.409431307819577
"235662_at",-0.598719999999999,0.409431307819577
"TLDC1",-0.40944,0.409431307819577
"CCDC85B",-0.55422,0.409431307819577
"APBA3",-0.3891425,0.420589201732295
