"geneNames.as.numeric.rownames.res_coef2...","res_coef2.logFC","res_coef2.adj.P.Val"
"GH1",3.693275,0.00221398947880614
"SOX6",1.6388205,0.00762460872066083
"GH2",3.27042666666666,0.0083215540393299
"GH1",2.87853999999999,0.0271641515137343
"GH1",3.37886833333333,0.0832038357260553
"BF516038",1.12476116666667,0.102165552350488
"AL359626",1.24955566666666,0.102165552350488
"BIRC5",0.949495833333331,0.102165552350488
"AF364863",1.32447616666667,0.102165552350488
"DCAF1",1.13302583333333,0.102165552350488
"LOC101929289",1.38287333333333,0.102165552350488
"ERCC4",1.27127783333333,0.102165552350488
"DLK1",1.78313833333333,0.133686673988077
"GABRA5",1.06095616666667,0.189292990747739
"SERPINF1",-4.53897166666667,0.23323685554567
"LOC105375839",2.493587,0.238411241963699
"MMP16",1.45542916666666,0.24961581546965
"R69245",1.07613166666667,0.253751557112585
"GH2",3.16205166666667,0.264784141964956
"KCNH2",2.23429833333333,0.27360002521863
"GH1",3.019445,0.275426160197816
"MRTO4",1.64974983333333,0.275426160197816
"MOB1A",-2.00509450000001,0.275426160197816
"STX6",1.07414383333333,0.300805210386181
"STAT5B",-2.24280783333334,0.300805210386181
"METTL6",1.19876783333333,0.300805210386181
"BF245243",1.55695833333333,0.300805210386181
"EPHA6",1.12580216666666,0.300805210386181
"ZNF789",0.981878333333332,0.300805210386181
"SNTG1",1.6800575,0.300805210386181
"BCLAF1",1.31519133333333,0.340777060058185
"KLHL34",2.4728035,0.342927538750277
"LAS1L",1.15588266666666,0.342927538750277
"MAGI1",1.93743183333333,0.342927538750277
"LOC100131510",1.93444516666667,0.342927538750277
"FOXP1",2.79126633333333,0.342927538750277
"243113_at",1.80429183333333,0.342927538750277
"PYGO2",1.10367,0.354960404231814
"MORF4L2-AS1",1.78838783333333,0.354960404231814
"SHC2",-2.98519183333334,0.354960404231814
"HSPB8",-4.17014566666667,0.354960404231814
"STAT5B",-1.599504,0.354960404231814
"SPATA5",1.46922799999999,0.355443834469558
"LINC01619",1.28964883333333,0.355443834469558
"NEK4",-1.47297766666667,0.355443834469558
"AU157675",2.0118785,0.355443834469558
"ZMYM2",1.4639615,0.355443834469558
"MZF1",0.767648499999999,0.355443834469558
"OVCA2",1.85597116666666,0.355443834469558
"RUFY2",2.07268583333333,0.366818763194424
"ELOVL4",-1.3108085,0.376786984416747
"AA340499",1.37696683333333,0.378633817503525
"NPAS3",0.914148999999997,0.390525328013794
"C12orf29",-1.01568716666667,0.394525172150286
"LOC101929147",-1.99616,0.396475378373704
"SLC16A7",-2.33790933333334,0.409889783418207
"LOC101930531",3.44463466666666,0.419937747625733
"PPM1L",-1.84884566666668,0.419937747625733
"LOC101928068",2.09290083333333,0.419937747625733
"EIF3B",2.33296016666666,0.419937747625733
"USP2",0.799646666666666,0.419937747625733
"BQ719879",0.660495833333333,0.419937747625733
"KLHL9",1.21114483333333,0.434553889007248
"AW451426",1.67951033333333,0.434553889007248
"AW450428",1.12891,0.434553889007248
"LINC01424",0.653347499999998,0.43642809132157
"SMIM10L1",1.13225283333333,0.43642809132157
"GABRG3",2.33402216666667,0.43642809132157
"ERGIC2",-1.12047533333334,0.43642809132157
"PAXBP1-AS1",1.8827655,0.43642809132157
"AK023757",0.717574166666666,0.43642809132157
"B3GLCT",-3.53319,0.43642809132157
"NEBL",3.510291,0.43642809132157
"FOLR1",7.1801865,0.449306811655654
"ABRACL",-4.3429065,0.454951308985466
"NF1P9",1.22877016666666,0.454951308985466
"PCED1B",2.86888966666666,0.454951308985466
"BCL6",-3.86917566666668,0.458250685664748
"CCDC50",1.86917116666666,0.458250685664748
"SNX16",-1.75318650000001,0.458250685664748
"GABRA5",2.12740383333333,0.458250685664748
"DENND2D",-2.34171083333334,0.458250685664748
"EIF5A2",-1.734852,0.462842935123124
"CCDC59",-1.041708,0.478254361344237
"SNX10",-4.0939205,0.478254361344237
"LOC101927550",0.734559499999998,0.478254361344237
"ALDH2",-2.09802000000001,0.486998960129311
"MCOLN3",-5.11586816666667,0.496989346966036
"PIN4",1.93311266666666,0.497926955546659
"MED28",-1.11208600000001,0.533489868457965
"CDK12",1.61132983333333,0.554103829804418
